Trial,Item,SentenceBefore,SentenceAfter,IA_ID,Condition,List,Positive,Negative,Unrelated,Target,Comprehension,,,,,,,,,,,,,,
80,80,Henry reminded us to try to never overdo the expectations of our customers.,Henry reminded us to try to never preach the expectations of our customers.,8,N/Neu,3,.,overdo,.,preach,Did Henry advise us to always meet the expectations of our customers?,,,,,,,,,,,,,,
81,81,The family reunion might escalate their closeness.,The family reunion might postpone their closeness.,5,UnNeu/Neu,3,.,.,escalate,postpone,Could the family reunion affect their closeness?,,,,,,,,,,,,,,
82,82,She was certain that her coworker could allocate the new plan.,She was certain that her coworker could allocate the new plan.,8,Neu/Neu,3,.,.,.,allocate,Was her coworker able to comprehend the new plan?,,,,,,,,,,,,,,
83,83,Artificial intelligence may partially generate employment for the American middle class.,Artificial intelligence may partially vanquish employment for the American middle class.,5,P/Neu,3,generate,.,.,vanquish,Will artificial intelligence completely replace employment for the American middle class?,,,,,,,,,,,,,,
84,84,Daniel thought they couldn't impair the plan until everyone was present.,Daniel thought they couldn't vacate the plan until everyone was present.,5,N/Neu,3,.,impair,.,vacate,Were they able to proceed with the plan before everyone was present?,,,,,,,,,,,,,,
85,85,The manager realized he wouldn't incur the beliefs of his employees.,The manager realized he wouldn't imply the beliefs of his employees.,6,UnNeu/Neu,3,.,.,incur,imply,Would the manager adopt the beliefs of his employees?,,,,,,,,,,,,,,
86,86,He explained that he would probably reiterate the business plan.,He explained that he would probably reiterate the business plan.,7,Neu/Neu,3,.,.,.,reiterate,Was he likely to abandon the business plan?,,,,,,,,,,,,,,
87,87,She told her assistant that he would never mobilize without her supervision.,She told her assistant that he would never medicate without her supervision.,9,P/Neu,3,mobilize,.,.,medicate,Was her assistant informed about needing supervision?,,,,,,,,,,,,,,
88,88,It is pretty common for some kids to sometimes degrade other children at school.,It is pretty common for some kids to sometimes outrank other children at school.,1,N/Neu,3,.,degrade,.,outrank,Is it common for some children to bully other children at school?,,,,,,,,,,,,,,
89,89,The union leader said that those on strike couldn't assign change without leaders.,The union leader said that those on strike couldn't incite change without leaders.,1,UnNeu/Neu,3,.,.,assign,incite,Could those on strike effect change without leaders according to the union leader?,,,,,,,,,,,,,,
90,90,Our children tried to clearly override the rules at their after-school program.,Our children tried to clearly override the rules at their after-school program.,6,Neu/Neu,3,.,.,.,override,Were our children able to understand the rules at their after-school program?,,,,,,,,,,,,,,
91,91,Mary said her boss wanted her to partially conserve her own efforts.,Mary said her boss wanted her to partially disperse her own efforts.,9,P/Neu,3,conserve,.,.,disperse,Did Mary's boss ask her to minimize her efforts?,,,,,,,,,,,,,,
92,92,The man claimed she would truly suffer after the ceremony.,The man claimed she would truly depose after the ceremony.,7,N/Neu,3,.,suffer,.,depose,Did the man claim something?,,,,,,,,,,,,,,
93,93,They tried to simply hitchhike despite my advice.,They tried to simply summarize despite my advice.,5,UnNeu/Neu,3,.,.,hitchhike,summarize,Did they attempt to simplify the process despite my advice?,,,,,,,,,,,,,,
94,94,The woman soon learned that her professional success might hasten later in the year.,The woman soon learned that her professional success might hasten later in the year.,1,Neu/Neu,3,.,.,.,hasten,Might the woman's professional success increase later in the year?,,,,,,,,,,,,,,
95,95,The team knew they couldn't reclaim the trophy without getting in trouble.,The team knew they couldn't recheck the trophy without getting in trouble.,6,P/Neu,3,reclaim,.,.,recheck,Did the team know they would be penalized for taking the trophy?,,,,,,,,,,,,,,
96,96,We did our best to quickly obstruct the service the very next morning.,We did our best to quickly denounce the service the very next morning.,7,N/Neu,3,.,obstruct,.,denounce,Were we able to expedite the service the following morning?,,,,,,,,,,,,,,
97,97,The politician promised her political platform would unfold current policies related to their cause.,The politician promised her political platform would topple current policies related to their cause.,8,UnNeu/Neu,3,.,.,unfold,topple,Would the politician's platform revise existing policies?,,,,,,,,,,,,,,
98,98,The main purpose of the meeting was to generally formulate against the cumulative effects.,The main purpose of the meeting was to generally formulate against the cumulative effects.,1,Neu/Neu,3,.,.,.,formulate,Was the meeting's main goal to advocate against the cumulative effects?,,,,,,,,,,,,,,
99,99,The boys shouldn't validate just because they are told to.,The boys shouldn't restrain just because they are told to.,4,P/Neu,3,validate,.,.,restrain,Should the boys act without questioning the instructions given to them?,,,,,,,,,,,,,,
100,100,The senior scientist said he couldn't interrupt the sample without ruining the experiment.,The senior scientist said he couldn't dissipate the sample without ruining the experiment.,7,N/Neu,3,.,interrupt,.,dissipate,Could the senior scientist alter the sample without compromising it?,,,,,,,,,,,,,,
101,101,The old lady would possess every conversation in order to be listened to.,The old lady would inflate every conversation in order to be listened to.,5,UnNeu/Neu,3,.,.,possess,inflate,Would the old lady dominate every conversation to ensure she was heard?,,,,,,,,,,,,,,
102,102,She tried to never unscrew her own experience and opinions at a cost.,She tried to never unscrew her own experience and opinions at a cost.,5,Neu/Neu,3,.,.,.,unscrew,Did she manage to share her experience and opinions without repercussions?,,,,,,,,,,,,,,
103,103,Every summer the campers tried to totally yearn themselves until the end of camp.,Every summer the campers tried to totally mimic themselves until the end of camp.,8,P/Neu,3,yearn,.,.,mimic,Did the campers manage to isolate themselves completely each summer?,,,,,,,,,,,,,,
104,104,"When visiting the tidepools, the kids would often overrun their route out of curiosity.","When visiting the tidepools, the kids would often retrace their route out of curiosity.",9,N/Neu,3,.,overrun,.,retrace,"When visiting tidepools, did the kids stick to their planned route?",,,,,,,,,,,,,,
105,105,"At home, we sometimes wrestle each other then talk about what we can do better.","At home, we sometimes entitle each other then talk about what we can do better.",5,UnNeu/Neu,3,.,.,wrestle,entitle,Do we often encourage each other at home to improve ourselves?,,,,,,,,,,,,,,
106,106,The expert told the man he needed to clearly defrost his opinions.,The expert told the man he needed to clearly defrost his opinions.,1,Neu/Neu,3,.,.,.,defrost,Did the man need to articulate his opinions more clearly?,,,,,,,,,,,,,,
107,107,After school I typically recreate toys that I no longer like.,After school I typically submerge toys that I no longer like.,5,P/Neu,3,recreate,.,.,submerge,Do I usually keep toys that I no longer enjoy after school?,,,,,,,,,,,,,,
108,108,The mother asked her daughter to cautiously disown the flowers and give them away.,The mother asked her daughter to cautiously dawdle the flowers and give them away.,8,N/Neu,3,.,disown,.,dawdle,Was the daughter able to carefully distribute the flowers without issue?,,,,,,,,,,,,,,
109,109,"When upset, they often flutter to get to a place of happiness.","When upset, they often peddle to get to a place of happiness.",5,UnNeu/Neu,3,.,.,flutter,peddle,"When people are upset, do they rarely find ways to achieve happiness?",,,,,,,,,,,,,,
110,110,We don't normally squint during our guests visit.,We don't normally squint during our guests visit.,4,Neu/Neu,3,.,.,.,squint,Is it unusual for us to make accommodations during our guests' visits?,,,,,,,,,,,,,,
111,111,There will always be another cello that is discussed on TV.,There will always be another rebel that is discussed on TV.,6,P/Neu,3,cello,.,.,rebel,Is there always a topic that gets discussed on TV?,,,,,,,,,,,,,,
112,112,I think I should stay away from every masochist if possible.,I think I should stay away from every hierarchy if possible.,9,N/Neu,3,.,masochist,.,hierarchy,Should I avoid every potential hazard if possible?,,,,,,,,,,,,,,
113,113,The woman seemed to know a lot about synagogue and shared with the group.,The woman seemed to know a lot about artillery and shared with the group.,9,UnNeu/Neu,3,.,.,synagogue,artillery,Did the woman possess extensive knowledge about the subject she discussed with the group?,,,,,,,,,,,,,,
114,114,The pamphlet was written from the perspective of a general taxpayer and was terrible.,The pamphlet was written from the perspective of a general taxpayer and was terrible.,11,Neu/Neu,3,.,.,.,taxpayer,Was the pamphlet written from an expert's perspective and well-received?,,,,,,,,,,,,,,
115,115,We tried to remember what we learned about bliss management at the seminar.,We tried to remember what we learned about quote management at the seminar.,9,P/Neu,3,bliss,.,.,quote,Did we successfully recall the management techniques from the seminar?,,,,,,,,,,,,,,
116,116,"In the attic, the children discovered a stash of hidden tobacco photographs under newspapers.","In the attic, the children discovered a stash of hidden herring photographs under newspapers.",11,N/Neu,3,.,tobacco,.,herring,"In the attic, did the children find a collection of openly displayed photographs?",,,,,,,,,,,,,,
117,117,The big book was all about uprising experts and their history.,The big book was all about clarinet experts and their history.,7,UnNeu/Neu,3,.,.,uprising,clarinet,Was the big book focused on novices rather than experts in their field?,,,,,,,,,,,,,,
118,118,People often belittle how often one needs a special tassel to finish the job.,People often belittle how often one needs a special tassel to finish the job.,1,Neu/Neu,3,.,.,.,tassel,Is it common to require a special tool to complete tasks effectively?,,,,,,,,,,,,,,
119,119,The family set out automatic lights before another daybreak was to cause commotion.,The family set out automatic lights before another darkroom was to cause commotion.,9,P/Neu,3,daybreak,.,.,darkroom,Did the family prepare the automatic lights due to an expected calm evening?,,,,,,,,,,,,,,
120,120,"In the painting, the girl was standing next to the large mongrel looking small.","In the painting, the girl was standing next to the large rustler looking small.",12,N/Neu,3,.,mongrel,.,rustler,"In the painting, did the girl appear as large as the object next to her?",,,,,,,,,,,,,,
121,121,Their films always included an intense elephant scene at the very end.,Their films always included an intense supplier scene at the very end.,7,UnNeu/Neu,3,.,.,elephant,supplier,Did the films exclude any dramatic scenes at the end?,,,,,,,,,,,,,,
122,122,The very unusual molar is ridiculous and must get help soon.,The very unusual molar is ridiculous and must get help soon.,4,Neu/Neu,3,.,.,.,molar,Is the unusual behavior considered normal and not in need of assistance?,,,,,,,,,,,,,,
123,123,I wonder how often a certain commodity is talked about in the office.,I wonder how often a certain checkbook is talked about in the office.,7,P/Neu,3,commodity,.,.,checkbook,Is a certain subject frequently discussed in the office?,,,,,,,,,,,,,,
124,124,Ben always thought hypocrisy was possible.,Ben always thought awareness was possible.,4,N/Neu,3,.,hypocrisy,.,awareness,Was Ben convinced that success was unlikely?,,,,,,,,,,,,,,
125,125,The film was about outsider history in their country.,The film was about blizzard history in their country.,5,UnNeu/Neu,3,.,.,outside,blizzard,Was the film a documentary about recent history in their country?,,,,,,,,,,,,,,
126,126,The woman learned about mosque use in their city.,The woman learned about mosque use in their city.,5,Neu/Neu,3,.,.,.,mosque,Was the woman unaware of the substance use in their city?,,,,,,,,,,,,,,
127,127,She was aware of the nearby cafeteria but she didn't mention it to anyone.,She was aware of the nearby precipice but she didn't mention it to anyone.,7,P/Neu,3,cafeteria,.,.,precipice,Did she talk about the nearby event that she was aware of?,,,,,,,,,,,,,,
128,128,Their advertisement offered information on ways to change relapse for a lay audience.,Their advertisement offered information on ways to change texture for a lay audience.,9,N/Neu,3,.,relapse,.,texture,Was the advertisement aimed at experts rather than a lay audience?,,,,,,,,,,,,,,
129,129,Lauren showed us her impressive turnpike picture collection in her office.,Lauren showed us her impressive wormwood picture collection in her office.,6,UnNeu/Neu,3,.,.,turnpike,wormwood,Did Lauren have a modest collection of pictures in her office?,,,,,,,,,,,,,,
130,130,The trunk held another fryer that the woman would need to care for.,The trunk held another fryer that the woman would need to care for.,5,Neu/Neu,3,.,.,.,fryer,Was the trunk empty and not requiring the woman's care?,,,,,,,,,,,,,,
131,131,The documentary maker was learning about icebox construction for the film.,The documentary maker was learning about urchin construction for the film.,7,P/Neu,3,icebox,.,.,urchin,Was the documentary maker unfamiliar with construction techniques for the film?,,,,,,,,,,,,,,
132,132,The woman asked whether their grief experience was ever an issue.,The woman asked whether their hooky experience was ever an issue.,6,N/Neu,3,.,grief,.,hooky,Was their extensive experience never a problem?,,,,,,,,,,,,,,
133,133,The scientist drew conclusions about the unusual artifact and shared them with others.,The scientist drew conclusions about the unusual specimen and shared them with others.,8,UnNeu/Neu,3,.,.,artifact,specimen,Did the scientist keep his conclusions about the unusual finding to himself?,,,,,,,,,,,,,,
134,134,The film was centered around a certain pursuit and was shot in the 1900s.,The film was centered around a certain pursuit and was shot in the 1900s.,8,Neu/Neu,3,.,.,.,pursuit,"Was the film shot recently, not in the 1900s?",,,,,,,,,,,,,,
135,135,People have differing opinions about recess function these days.,People have differing opinions about piston function these days.,6,P/Neu,3,recess,.,.,piston,Do people unanimously agree on the function of the subject in question?,,,,,,,,,,,,,,
136,136,My boss keeps telling me we don't need another nutcase to be successful.,My boss keeps telling me we don't need another brigade to be successful.,1,N/Neu,3,.,nutcase,.,brigade,Is another new hire exactly what the company needs to succeed?,,,,,,,,,,,,,,
137,137,We read about quota standards from that time period.,We read about quilt standards from that time period.,4,UnNeu/Neu,3,.,.,quota,quilt,Were the standards from that time period irrelevant to our reading?,,,,,,,,,,,,,,
138,138,There is such variety in a certain latch type that I am excited about.,There is such variety in a certain latch type that I am excited about.,8,Neu/Neu,3,.,.,.,latch,Is there little variety in the specific type that excites me?,,,,,,,,,,,,,,
139,139,That was the second physicist I've ran into this week.,That was the second adversity I've ran into this week.,5,P/Neu,3,physicist,.,.,adversity,Is this the first time I've encountered this phenomenon this week?,,,,,,,,,,,,,,
140,140,They read the comedy about the famous sludge in high school,They read the comedy about the famous squire in high school,8,N/Neu,3,.,sludge,.,squire,Was the comedy unrelated to the famous person studied in high school?,,,,,,,,,,,,,,
141,141,"The website depicted crevice images, as well as relevant links.","The website depicted battery images, as well as relevant links.",4,UnNeu/Neu,3,.,.,crevice,battery,Did the website show informative images along with relevant links?,,,,,,,,,,,,,,
142,142,The inspector said the certain briar chosen was oddly dark.,The inspector said the certain briar chosen was oddly dark.,6,Neu/Neu,3,.,.,.,briar,Did the inspector comment that the shade selected was surprisingly light?,,,,,,,,,,,,,,
143,143,The song he wrote was about ownership troubles and was a big hit.,The song he wrote was about temptress troubles and was a big hit.,7,P/Neu,3,ownership,.,.,temptress,Was the song he wrote about joyous troubles and well-received?,,,,,,,,,,,,,,
144,144,The book gave a detailed history about methane use in the United States.,The book gave a detailed history about anagram use in the United States.,8,N/Neu,3,.,methane,.,anagram,Does the book provide a comprehensive history of prohibited substance use in the United States?,,,,,,,,,,,,,,
145,145,They discussed thruster related dynamics in the meeting.,They discussed gasoline related dynamics in the meeting.,3,UnNeu/Neu,3,.,.,thruster,gasoline,Were the meeting discussions focused on unrelated dynamics?,,,,,,,,,,,,,,
146,146,The lady would like to learn more about a certain airstrip for the study.,The lady would like to learn more about a certain airstrip for the study.,11,Neu/Neu,3,.,.,.,airstrip,Is the lady interested in learning about an unknown subject for her study?,,,,,,,,,,,,,,
147,147,"Last week, there was a report about hygiene breakdown discovered nearby.","Last week, there was a report about fissure breakdown discovered nearby.",8,P/Neu,3,hygiene,.,.,fissure,Was there a report last week about a significant breakdown in the area?,,,,,,,,,,,,,,
148,148,"At the office, former botulism records were kept in a hidden case.","At the office, former ulterior records were kept in a hidden case.",5,N/Neu,3,.,botulism,.,ulterior,Were the former confidential records stored openly at the office?,,,,,,,,,,,,,,
149,149,"I was always told every regulator will reoccur, and today I believed it.","I was always told every charlatan will reoccur, and today I believed it.",6,UnNeu/Neu,3,.,.,regulator,charlatan,Has the event I was warned about never happened until today?,,,,,,,,,,,,,,
150,150,Lauren told me that she dreamt about a certain thicket that was life changing.,Lauren told me that she dreamt about a certain thicket that was life changing.,1,Neu/Neu,3,.,.,.,thicket,Did Lauren dream about something mundane that changed her life?,,,,,,,,,,,,,,
151,151,The woman gave a talk to the group about sheepdog in training last week.,The woman gave a talk to the group about collagen in training last week.,1,P/Neu,3,sheepdog,.,.,collagen,Was the woman's talk about the importance of humor in training?,,,,,,,,,,,,,,
152,152,The box had a faded sign that was labeled spittoon sitting on the shelf.,The box had a faded sign that was labeled scullery sitting on the shelf.,1,N/Neu,3,.,spittoon,.,scullery,Was there a clearly labeled box left unnoticed on the shelf?,,,,,,,,,,,,,,
153,153,"Jacob noticed an uncontrolled reaction within his neighborhood, where the population was changing.","Jacob noticed an uncontrolled showdown within his neighborhood, where the population was changing.",5,UnNeu/Neu,3,.,.,reaction,showdown,Did Jacob witness a well-controlled situation in his changing neighborhood?,,,,,,,,,,,,,,
154,154,The large dog exhibited a serious muzzle which was visible from across the park.,The large dog exhibited a serious muzzle which was visible from across the park.,7,Neu/Neu,3,.,.,.,muzzle,Did the large dog show a mild temperament that was noticeable in the park?,,,,,,,,,,,,,,
155,155,The podcast was about a scientist who had discovered another wonder last year.,The podcast was about a scientist who had discovered another effect last year.,11,P/Neu,3,wonder,.,.,effect,Was the podcast discussing a scientist's discovery made several years ago?,,,,,,,,,,,,,,
156,156,Emmylou said she had been given a similar ransom in the past.,Emmylou said she had been given a similar record in the past.,9,N/Neu,3,.,ransom,.,record,Has Emmylou received a similar gift in the past?,,,,,,,,,,,,,,
157,157,She said they needed drawings in order to finish the job.,She said they needed landfall in order to finish the job.,5,UnNeu/Neu,3,.,.,drawings,landfall,Did they say additional resources were unnecessary to complete the job?,,,,,,,,,,,,,,
158,158,The handlers skillfully managed their solvent all night long.,The handlers skillfully managed their solvent all night long.,6,Neu/Neu,3,.,.,.,solvent,Did the handlers struggle to manage their tasks throughout the night?,,,,,,,,,,,,,,
159,159,He listened to a podcast about the former diligence of the foreign country.,He listened to a podcast about the former motorcade of the foreign country.,9,P/Neu,3,diligence,.,.,motorcade,Was the podcast about the current leader of a foreign country?,,,,,,,,,,,,,,
160,160,The website provided investigative reporting about mucus measurement for a lay audience.,The website provided investigative reporting about tulip measurement for a lay audience.,7,N/Neu,3,.,mucus,.,tulip,Did the website offer entertainment news instead of investigative reporting for a specialized audience?,,,,,,,,,,,,,,
1,1,There were myths about offshore animals near the island.,There were myths about offshore animals near the island.,5,Neu/Neu,4,.,.,.,offshore,Were there myths about animals near the island?,,,,,,,,,,,,,,
2,2,We found the guests requests to be rather valid each evening.,We found the guests requests to be rather plain each evening.,9,P/Neu,4,valid,.,.,plain,Did the guests find the evening requests peculiar?,,,,,,,,,,,,,,
3,3,The discussion centered around grouchy ideas and lasted for hours.,The discussion centered around secular ideas and lasted for hours.,5,N/Neu,4,.,grouchy,.,secular,Was the discussion about innovative ideas?,,,,,,,,,,,,,,
4,4,The guests did not expect the culture to appear strenuous and were surprised.,The guests did not expect the culture to appear tolerable and were surprised.,1,UnNeu/Neu,4,.,.,strenuous,tolerable,Did the culture on the island appear different than expected?,,,,,,,,,,,,,,
5,5,The psychologist agreed that sometimes colossal dreams would occur with her patients.,The psychologist agreed that sometimes colossal dreams would occur with her patients.,6,Neu/Neu,4,.,.,.,colossal,Can recurrent dreams sometimes be a topic of agreement among psychologists?,,,,,,,,,,,,,,
6,6,She believed that the demand for the product had become supple since last month.,She believed that the demand for the product had become latent since last month.,11,P/Neu,4,supple,.,.,latent,Has the demand for the product become insatiable since last month?,,,,,,,,,,,,,,
7,7,The college course featured readings about unsavory topics that were required.,The college course featured readings about forensic topics that were required.,7,N/Neu,4,.,unsavory,.,forensic,Does the college course require readings on eclectic topics?,,,,,,,,,,,,,,
8,8,The artist created volcanic structures and was very successful.,The artist created apparent structures and was very successful.,4,UnNeu/Neu,4,.,.,volcanic,apparent,Were the structures created by the artist abstract in nature?,,,,,,,,,,,,,,
9,9,Mary's attitude was clearly infernal last Wednesday after work.,Mary's attitude was clearly infernal last Wednesday after work.,5,Neu/Neu,4,.,.,.,infernal,Was Mary's attitude defiant after work last Wednesday?,,,,,,,,,,,,,,
10,10,The woman's attitude seemed frosty so the kids kept their distance.,The woman's attitude seemed slinky so the kids kept their distance.,5,P/Neu,4,frosty,.,.,slinky,Did the children keep their distance because the woman seemed unapproachable?,,,,,,,,,,,,,,
11,11,Dean said that the painting was really blatant at the show.,Dean said that the painting was really fragile at the show.,8,N/Neu,4,.,blatant,.,fragile,Was Dean's opinion of the painting at the show positive?,,,,,,,,,,,,,,
12,12,The decision reached by the judge came off as fairly unnoticed to the jury.,The decision reached by the judge came off as fairly momentary to the jury.,11,UnNeu/Neu,4,.,.,unnoticed,momentary,Did the jury consider the judge's decision impartial?,,,,,,,,,,,,,,
13,13,The art form's unique style was quite focal and drew attention.,The art form's unique style was quite focal and drew attention.,8,Neu/Neu,4,.,.,.,focal,Was the art form's style deemed avant-garde?,,,,,,,,,,,,,,
14,14,"At the cafe, the waiter's reliable abilities stood out to his employer.","At the cafe, the waiter's remedial abilities stood out to his employer.",6,P/Neu,4,reliable,.,.,remedial,"In the cafe, were the waiter's customer service abilities exceptional?",,,,,,,,,,,,,,
15,15,In the cartoon there were several queasy looking animations that danced around the screen.,In the cartoon there were several sleepy looking animations that danced around the screen.,7,N/Neu,4,.,queasy,.,sleepy,Did the cartoon feature whimsical animations?,,,,,,,,,,,,,,
16,16,The dog trainer talked with a slightly fallow tone to the customers.,The dog trainer talked with a slightly wobbly tone to the customers.,8,UnNeu/Neu,4,.,.,fallow,wobbly,Did the dog trainer speak to the customers in a condescending tone?,,,,,,,,,,,,,,
17,17,The woman told us that the photo exhibit was about blurry themes and topics.,The woman told us that the photo exhibit was about blurry themes and topics.,11,Neu/Neu,4,.,.,.,blurry,Was the photo exhibit about diverse themes?,,,,,,,,,,,,,,
18,18,Every story in the book described starry scenes of a mountain town.,Every story in the book described spooky scenes of a mountain town.,7,P/Neu,4,starry,.,.,spooky,Were the book's stories about picturesque mountain scenes?,,,,,,,,,,,,,,
19,19,The man came across at first as extremely sordid but nevertheless he was friendly.,The man came across at first as extremely chubby but nevertheless he was friendly.,9,N/Neu,4,.,sordid,.,chubby,"Initially, did the man come across as intimidating?",,,,,,,,,,,,,,
20,20,Amanda's reputation in town was that she was quite infamous but that wasn't true.,Amanda's reputation in town was that she was quite tireless but that wasn't true.,1,UnNeu/Neu,4,.,.,infamous,tireless,Is Amanda's reputation in town undeservedly negative?,,,,,,,,,,,,,,
21,21,The song created adequate effects on anyone listening.,The song created adequate effects on anyone listening.,4,Neu/Neu,4,.,.,.,adequate,Was the song listened to?,,,,,,,,,,,,,,
22,22,People seem to think that Sharon's business practices are fairly homemade but they aren't.,People seem to think that Sharon's business practices are fairly inactive but they aren't.,11,P/Neu,4,homemade,.,.,inactive,Do people comment on Sharon's business practices?,,,,,,,,,,,,,,
23,23,We overheard the babysitter describe our son as rather snide to her friend.,We overheard the babysitter describe our son as rather naive to her friend.,1,N/Neu,4,.,snide,.,naive,Was the babysitter a a private person?,,,,,,,,,,,,,,
24,24,The media tends to depict the colleges campus culture as pretty bonkers this year.,The media tends to depict the colleges campus culture as pretty ongoing this year.,12,UnNeu/Neu,4,.,.,bonkers,ongoing,Are college campuses discussed in the news?,,,,,,,,,,,,,,
25,25,The bus driver came off as pretty gruff to most passengers.,The bus driver came off as pretty gruff to most passengers.,8,Neu/Neu,4,.,.,.,gruff,Do the passengers sing together?,,,,,,,,,,,,,,
26,26,We talked about how the neighbor's dog was really brainy for hours.,We talked about how the neighbor's dog was really freaky for hours.,1,P/Neu,4,brainy,.,.,freaky,Was the neighbor's dog talked about?,,,,,,,,,,,,,,
27,27,The book was all about haphazard structures and had lots of useful illustrations.,The book was all about synthetic structures and had lots of useful illustrations.,6,N/Neu,4,.,haphazard,.,synthetic,Was the book useful?,,,,,,,,,,,,,,
28,28,The expert told us that those instructions were all pretty erroneous and removed them.,The expert told us that those instructions were all pretty condensed and removed them.,11,UnNeu/Neu,4,.,.,erroneous,condensed,Did the expert give us new instructions?,,,,,,,,,,,,,,
29,29,Our volunteers are used to working around indecent animals that were born in captivity.,Our volunteers are used to working around indecent animals that were born in captivity.,8,Neu/Neu,4,.,.,.,indecent,Were the volunteers helpful?,,,,,,,,,,,,,,
30,30,The uncles opinions are quite agreeable when it comes to properly cooking chicken.,The uncles opinions are quite notorious when it comes to properly cooking chicken.,6,P/Neu,4,agreeable,.,.,notorious,Were my uncles quiet?,,,,,,,,,,,,,,
31,31,"In her opinion, their new hire was slightly bossy and needed more training.","In her opinion, their new hire was slightly inept and needed more training.",9,N/Neu,4,.,bossy,.,inept,Was the new hire discussed?,,,,,,,,,,,,,,
32,32,The lawyer testified that her client was given traceable treatment by the jury.,The lawyer testified that her client was given statutory treatment by the jury.,9,UnNeu/Neu,4,.,.,traceable,statuory,Did the lawyer run away?,,,,,,,,,,,,,,
33,33,On the playground the teacher believed the boy acted without primitive intentions often.,On the playground the teacher believed the boy acted without primitive intentions often.,11,Neu/Neu,4,.,.,.,primitive,Was the teacher involved during recess?,,,,,,,,,,,,,,
34,34,The flavor of the coffee beans became luminous after they were fully roasted.,The flavor of the coffee beans became palpable after they were fully roasted.,8,P/Neu,4,luminous,.,.,palpable,Was the coffee any good?,,,,,,,,,,,,,,
35,35,The message of the book described insidious things that were relatable.,The message of the book described pragmatic things that were relatable.,7,N/Neu,4,.,insidious,.,pragmatic,Was the book useful?,,,,,,,,,,,,,,
36,36,The gas station in town was always foreign and was often avoided by children.,The gas station in town was always sketchy and was often avoided by children.,8,UnNeu/Neu,4,.,.,foreign,sketchy,Was the gas station open?,,,,,,,,,,,,,,
37,37,The physician was concerned about the patient's unbridled treatment the next day.,The physician was concerned about the patient's unbridled treatment the next day.,8,Neu/Neu,4,.,.,.,unbridled,Was the physician concerned?,,,,,,,,,,,,,,
38,38,He said that her claims about his health were generally momentous but he engaged.,He said that her claims about his health were generally unfounded but he engaged.,11,P/Neu,4,momentous,.,.,unfounded,Were her claims ignored?,,,,,,,,,,,,,,
39,39,Our great aunt's toothless opinions were something I remember with great detail.,Our great aunt's countless opinions were something I remember with great detail.,4,N/Neu,4,.,toothless,.,countless,Does my aunt remember anything?,,,,,,,,,,,,,,
40,40,The customers arriving for the early-bird special were largely kosher every Tuesday morning.,The customers arriving for the early-bird special were largely ardent every Tuesday morning.,1,UnNeu/Neu,4,.,.,kosher,ardent,Were the customers there late?,,,,,,,,,,,,,,
41,41,My next-door neighbor could be described as fairly cerebral in terms of his education.,My next-door neighbor could be described as fairly cerebral in terms of his education.,9,Neu/Neu,4,.,.,.,cerebral,Was my next-door neighbor discussed?,,,,,,,,,,,,,,
42,42,The families opinions of drugs seemed to be quite audible after the movie.,The families opinions of drugs seemed to be quite genetic after the movie.,1,P/Neu,4,audible,.,.,genetic,Did people change their perspective before the film?,,,,,,,,,,,,,,
43,43,The professor told our class that generally speaking destitute students attended the meeting.,The professor told our class that generally speaking intensive students attended the meeting.,9,N/Neu,4,.,destitute,.,intensive,Did the professor speak to our class?,,,,,,,,,,,,,,
44,44,The meeting notes described advisory remarks and opinions from the previous hearing.,The meeting notes described previous remarks and opinions from the previous hearing.,5,UnNeu/Neu,4,.,.,advisory,previous,Were the meeting notes inaccurate?,,,,,,,,,,,,,,
45,45,Her massage practice was regarded as somewhat sluggish by her clientele.,Her massage practice was regarded as somewhat sluggish by her clientele.,8,Neu/Neu,4,.,.,.,sluggish,Did her clientele think about her practice?,,,,,,,,,,,,,,
46,46,The people who set up the soccer game were quite athletic while completing tasks.,The people who set up the soccer game were quite variable while completing tasks.,11,P/Neu,4,athletic,.,.,variable,Did people leave the soccer game?,,,,,,,,,,,,,,
47,47,The patient described their nauseous treatment at the hospital.,The patient described their infrared treatment at the hospital.,5,N/Neu,4,.,nauseous,.,infrared,Was the patient in the hospital?,,,,,,,,,,,,,,
48,48,My friend started making gullible purchases and spent lots of money.,My friend started making clinical purchases and spent lots of money.,5,UnNeu/Neu,4,.,.,gullible,clinical,Did my friend save her money?,,,,,,,,,,,,,,
49,49,The mayor promised to make laws about managing political policies to implement change.,The mayor promised to make laws about managing political policies to implement change.,9,Neu/Neu,4,.,.,.,political,Did the mayor make campaign promises?,,,,,,,,,,,,,,
50,50,The speech that was given appeared diverse to the group of listeners.,The speech that was given appeared unheard to the group of listeners.,7,P/Neu,4,diverse,.,.,unheard,Did the audience leave?,,,,,,,,,,,,,,
51,51,The general made an announcement that the military should refuse messages from foreign powers.,The general made an announcement that the military should disarm messages from foreign powers.,1,N/Neu,4,.,refuse,.,disarm,Did the general make an announcement?,,,,,,,,,,,,,,
52,52,The main character in the story had to totally manage at the end.,The main character in the story had to totally oppose at the end.,1,UnNeu/Neu,4,.,.,manage,oppose,Did the main character have to totally reinvent themselves at the end?,,,,,,,,,,,,,,
53,53,Landscapers will often uncover certain areas over others.,Landscapers will often uncover certain areas over others.,4,Neu/Neu,4,.,.,.,uncover,Do landscapers often prioritize certain areas over others?,,,,,,,,,,,,,,
